,EPSG:4326_Long,EPSG:4326_Lat,Address,Description
0,0.0,0.0,Beehive,Beehive
1,0.0,0.0,Beehive,Beehive
2,0.0,0.0,TCS 4302 - Returned from CDOT 04 Dec 2017,AoT Chicago (T) - Replace
3,-87.627678,41.878377,State St & Jackson Blvd Chicago IL,AoT Chicago (S) [C]
4,0.0,0.0,TBD,AoT UNC (S) [C]
5,-87.616055,41.858136,18th St & Lake Shore Dr Chicago IL,AoT Chicago (S)
6,0.0,0.0,"TCS 4302 P2,S7",AoT Node (S)
7,0.0,0.0,TBD,AoT Denver (S)
8,0.0,0.0,TBD,AoT Denver - Panasonic (S) [CA]
9,-87.6307578,41.9262614,Lake Shore Drive & Fullerton Ave Chicago IL,AoT Chicago (S) [CA]
10,0.0,0.0,TCS 4302 (Returned from CDOT 4/3/17),AoT Chicago (T)
11,0.0,0.0,Returned - TCS 4302,AoT Chicago (T)
12,-87.590228,41.810342,Cornell & 47th St Chicago IL,AoT Chicago (S)
13,0.0,0.0,Returned - TCS 4302,AoT NIU (T)
14,0.0,0.0,"TCS 4302,01/18/2018",AoT Chicago (T) - Returned
15,-87.710543,41.866349,Homan Ave & Roosevelt Rd Chicago IL,AoT Chicago (S) [C]
16,0.0,0.0,"TCS 4302,01/18/2018",AoT Chicago (T) - Returned
17,0.0,0.0,TCS 4302 (Returned from CDOT 4/3/17),AoT Chicago (T)
18,0.0,0.0,Retired as display piece. With Douglas at SAIC.,Hot Glue Humidor (T)
19,-87.6277685,41.88320529999999,State St & Washington St Chicago IL,AoT Chicago (T)
20,0.0,0.0,TCS 4302 (Brought Inside Oct 2017),Test Control Node (T)
21,0.0,0.0,"TCS 4302,01/18/2018",AoT Chicago (T) - Returned
22,0.0,0.0,TCS Somewhere?,
23,-87.58645600000001,41.7806,Stony Island Ave & 63rd St Chicago IL,AoT Chicago (S) [C]
24,0.0,0.0,"Fedex, 21/DEC/2017",Panasonic at Civic Ctr Park (S)
25,0.0,0.0,TCS 4302 - Returned from CDOT 04 Dec 2017,AoT Chicago (T) - Replace
